"Source domain","Category","Domain","Source Type","Visits","Domain Traffic Split","Traffic Share"
"google.com","online_services,mass_media,publishing","btcc.com","自然搜索","1843648","98.69%","4.92%"
"google.com","online_services,mass_media,publishing","tapbit.com","自然搜索","24521","1.31%","4.92%"
"search.yahoo.co.jp","n/a","btcc.com","自然搜索","28448","100%","0.07%"
"search.yahoo.co.jp","n/a","tapbit.com","自然搜索","0","0%","0.07%"
"ecosia.org","ecology_and_environment","btcc.com","自然搜索","21515","100%","0.06%"
"ecosia.org","ecology_and_environment","tapbit.com","自然搜索","0","0%","0.06%"
"google.co.kr","education,mass_media","btcc.com","自然搜索","19703","100%","0.05%"
"google.co.kr","education,mass_media","tapbit.com","自然搜索","0","0%","0.05%"
"search.naver.com","n/a","btcc.com","自然搜索","18681","100%","0.05%"
"search.naver.com","n/a","tapbit.com","自然搜索","0","0%","0.05%"
"google.com.tw","n/a","btcc.com","自然搜索","12634","100%","0.03%"
"google.com.tw","n/a","tapbit.com","自然搜索","0","0%","0.03%"
"tw.search.yahoo.com","n/a","btcc.com","自然搜索","12503","100%","0.03%"
"tw.search.yahoo.com","n/a","tapbit.com","自然搜索","0","0%","0.03%"
"bing.com","online_services,entertainment,mass_media","btcc.com","自然搜索","10694","99.78%","0.03%"
"bing.com","online_services,entertainment,mass_media","tapbit.com","自然搜索","24","0.22%","0.03%"
"search.yahoo.com","n/a","btcc.com","自然搜索","739","9.37%","0.02%"
"search.yahoo.com","n/a","tapbit.com","自然搜索","7149","90.63%","0.02%"
"yandex.com","online_services,foreign_language,information_technology","btcc.com","自然搜索","2589","86.33%","< 0.01%"
"yandex.com","online_services,foreign_language,information_technology","tapbit.com","自然搜索","410","13.67%","< 0.01%"
"google.co.jp","n/a","btcc.com","自然搜索","2563","100%","< 0.01%"
"google.co.jp","n/a","tapbit.com","自然搜索","0","0%","< 0.01%"
"google.co.uk","education","btcc.com","自然搜索","2179","100%","< 0.01%"
"google.co.uk","education","tapbit.com","自然搜索","0","0%","< 0.01%"
"duckduckgo.com","n/a","btcc.com","自然搜索","2057","100%","< 0.01%"
"duckduckgo.com","n/a","tapbit.com","自然搜索","0","0%","< 0.01%"
"google.fr","newspapers,mass_media,online_services","btcc.com","自然搜索","2005","100%","< 0.01%"
"google.fr","newspapers,mass_media,online_services","tapbit.com","自然搜索","0","0%","< 0.01%"
"r.search.yahoo.com","n/a","btcc.com","自然搜索","1595","100%","< 0.01%"
"r.search.yahoo.com","n/a","tapbit.com","自然搜索","0","0%","< 0.01%"
"yandex.kz","n/a","btcc.com","自然搜索","1453","100%","< 0.01%"
"yandex.kz","n/a","tapbit.com","自然搜索","0","0%","< 0.01%"
"contents.premium.naver.com","n/a","btcc.com","自然搜索","1262","100%","< 0.01%"
"contents.premium.naver.com","n/a","tapbit.com","自然搜索","0","0%","< 0.01%"
"finance.naver.com","n/a","btcc.com","自然搜索","1227","100%","< 0.01%"
"finance.naver.com","n/a","tapbit.com","自然搜索","0","0%","< 0.01%"
"edgeservices.bing.com","n/a","btcc.com","自然搜索","1125","100%","< 0.01%"
"edgeservices.bing.com","n/a","tapbit.com","自然搜索","0","0%","< 0.01%"
"yandex.ru","online_services","btcc.com","自然搜索","895","100%","< 0.01%"
"yandex.ru","online_services","tapbit.com","自然搜索","0","0%","< 0.01%"
"google.be","education","btcc.com","自然搜索","781","100%","< 0.01%"
"google.be","education","tapbit.com","自然搜索","0","0%","< 0.01%"
"google.com.hk","education","btcc.com","自然搜索","740","100%","< 0.01%"
"google.com.hk","education","tapbit.com","自然搜索","0","0%","< 0.01%"
"html.duckduckgo.com","n/a","btcc.com","自然搜索","641","100%","< 0.01%"
"html.duckduckgo.com","n/a","tapbit.com","自然搜索","0","0%","< 0.01%"
"chromewebstore.google.com","n/a","btcc.com","自然搜索","0","0%","< 0.01%"
"chromewebstore.google.com","n/a","tapbit.com","自然搜索","504","100%","< 0.01%"
"docs.google.com","n/a","btcc.com","自然搜索","196","44.65%","< 0.01%"
"docs.google.com","n/a","tapbit.com","自然搜索","243","55.35%","< 0.01%"
"translate.google.co.in","n/a","btcc.com","自然搜索","0","0%","< 0.01%"
"translate.google.co.in","n/a","tapbit.com","自然搜索","378","100%","< 0.01%"
"yandex.ru","online_services","btcc.com","自然搜索","333","100%","< 0.01%"
"yandex.ru","online_services","tapbit.com","自然搜索","0","0%","< 0.01%"
"google.ca","education","btcc.com","自然搜索","304","100%","< 0.01%"
"google.ca","education","tapbit.com","自然搜索","0","0%","< 0.01%"
"google.ru","online_services","btcc.com","自然搜索","246","100%","< 0.01%"
"google.ru","online_services","tapbit.com","自然搜索","0","0%","< 0.01%"
"meet.google.com","n/a","btcc.com","自然搜索","0","0%","< 0.01%"
"meet.google.com","n/a","tapbit.com","自然搜索","228","100%","< 0.01%"
"search.daum.net","n/a","btcc.com","自然搜索","215","100%","< 0.01%"
"search.daum.net","n/a","tapbit.com","自然搜索","0","0%","< 0.01%"
"google.com.ar","n/a","btcc.com","自然搜索","189","100%","< 0.01%"
"google.com.ar","n/a","tapbit.com","自然搜索","0","0%","< 0.01%"
"google.it","education,publishing","btcc.com","自然搜索","185","100%","< 0.01%"
"google.it","education,publishing","tapbit.com","自然搜索","0","0%","< 0.01%"
"google.pl","online_services","btcc.com","自然搜索","26","14.29%","< 0.01%"
"google.pl","online_services","tapbit.com","自然搜索","156","85.71%","< 0.01%"
"google.cl","education","btcc.com","自然搜索","160","100%","< 0.01%"
"google.cl","education","tapbit.com","自然搜索","0","0%","< 0.01%"
"google.gr","n/a","btcc.com","自然搜索","160","100%","< 0.01%"
"google.gr","n/a","tapbit.com","自然搜索","0","0%","< 0.01%"
"yandex.by","online_services","btcc.com","自然搜索","160","100%","< 0.01%"
"yandex.by","online_services","tapbit.com","自然搜索","0","0%","< 0.01%"
"ph.search.yahoo.com","n/a","btcc.com","自然搜索","0","0%","< 0.01%"
"ph.search.yahoo.com","n/a","tapbit.com","自然搜索","132","100%","< 0.01%"
"ca.search.yahoo.com","n/a","btcc.com","自然搜索","69","100%","< 0.01%"
"ca.search.yahoo.com","n/a","tapbit.com","自然搜索","0","0%","< 0.01%"
"google.co.ma","government","btcc.com","自然搜索","0","0%","< 0.01%"
"google.co.ma","government","tapbit.com","自然搜索","57","100%","< 0.01%"
"lookerstudio.google.com","n/a","btcc.com","自然搜索","0","0%","< 0.01%"
"lookerstudio.google.com","n/a","tapbit.com","自然搜索","56","100%","< 0.01%"
"google.es","education","btcc.com","自然搜索","55","100%","< 0.01%"
"google.es","education","tapbit.com","自然搜索","0","0%","< 0.01%"
"tr.search.yahoo.com","n/a","btcc.com","自然搜索","55","100%","< 0.01%"
"tr.search.yahoo.com","n/a","tapbit.com","自然搜索","0","0%","< 0.01%"
"yandex.com.tr","online_services,mass_media,adult","btcc.com","自然搜索","55","100%","< 0.01%"
"yandex.com.tr","online_services,mass_media,adult","tapbit.com","自然搜索","0","0%","< 0.01%"
"classroom.google.com","n/a","btcc.com","自然搜索","0","0%","< 0.01%"
"classroom.google.com","n/a","tapbit.com","自然搜索","50","100%","< 0.01%"
"ads.google.com","n/a","btcc.com","自然搜索","0","0%","< 0.01%"
"ads.google.com","n/a","tapbit.com","自然搜索","47","100%","< 0.01%"
"drive.usercontent.google.com","n/a","btcc.com","自然搜索","0","0%","< 0.01%"
"drive.usercontent.google.com","n/a","tapbit.com","自然搜索","42","100%","< 0.01%"
"google.com.au","education","btcc.com","自然搜索","38","100%","< 0.01%"
"google.com.au","education","tapbit.com","自然搜索","0","0%","< 0.01%"
"hk.search.yahoo.com","n/a","btcc.com","自然搜索","38","100%","< 0.01%"
"hk.search.yahoo.com","n/a","tapbit.com","自然搜索","0","0%","< 0.01%"
"google.com.br","education","btcc.com","自然搜索","34","100%","< 0.01%"
"google.com.br","education","tapbit.com","自然搜索","0","0%","< 0.01%"